Signaling Flow,Class
"PCSCF,SCSCF,I:SCSCF,PCSCF,T:SCSCF,ASLI,I:ASLI,SCSCF,T:ASLI,SCSCF,I-500:SCSCF,ASLI,A:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,GTW,I:GTW,SCSCF,T:GTW,SCSCF,R:SCSCF,MTAS,R:SCSCF,PCSCF,R:PCSCF,SCSCF,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:SCSCF,MTAS,P-200:SCSCF,PCSCF,P-200:GTW,SCSCF,I-200:SCSCF,MTAS,I-200:SCSCF,PCSCF,I-200:PCSCF,SCSCF,A:SCSCF,MTAS,A:MTAS,SCSCF,A:SCSCF,GTW,A:GTW,SCSCF,I:SCSCF,GTW,T:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,PCSCF,I:PCSCF,SCSCF,I-200:SCSCF,MTAS,I-200:SCSCF,GTW,I-200:GTW,SCSCF,A:MTAS,SCSCF,A:SCSCF,PCSCF,A:PCSCF,SCSCF,B:MTAS,SCSCF,B:SCSCF,GTW,B:GTW,SCSCF,B-200:SCSCF,MTAS,B-200:SCSCF,PCSCF,B-200",0
"PCSCF,SCSCF,I:SCSCF,PCSCF,T:SCSCF,ASLI,I:ASLI,SCSCF,T:ASLI,SCSCF,I-500:SCSCF,ASLI,A:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,GTW,I:GTW,SCSCF,T:GTW,SCSCF,S:SCSCF,MTAS,S:SCSCF,PCSCF,S:PCSCF,SCSCF,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:SCSCF,MTAS,P-200:SCSCF,PCSCF,P-200:GTW,SCSCF,R:SCSCF,MTAS,R:SCSCF,PCSCF,R:PCSCF,SCSCF,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:SCSCF,MTAS,P-200:SCSCF,PCSCF,P-200:GTW,SCSCF,I-200:SCSCF,MTAS,I-200:SCSCF,PCSCF,I-200:PCSCF,SCSCF,A:SCSCF,MTAS,A:MTAS,SCSCF,A:SCSCF,GTW,A:MTAS,SCSCF,U:SCSCF,GTW,U:GTW,SCSCF,U-200:SCSCF,MTAS,U-200:MTAS,SCSCF,U:SCSCF,PCSCF,U:PCSCF,SCSCF,U-200:SCSCF,MTAS,U-200:MTAS,SCSCF,U:SCSCF,GTW,U:GTW,SCSCF,U-200:SCSCF,MTAS,U-200:MTAS,SCSCF,U:SCSCF,PCSCF,U:PCSCF,SCSCF,U-200:SCSCF,MTAS,U-200:PCSCF,SCSCF,B:SCSCF,MTAS,B:MTAS,SCSCF,B:SCSCF,GTW,B:GTW,SCSCF,B-200:SCSCF,MTAS,B-200:MTAS,SCSCF,B-200:SCSCF,PCSCF,B-200",0
"PCSCF,SCSCF,I:SCSCF,PCSCF,T:SCSCF,PCSCF,I-407:PCSCF,SCSCF,A:PCSCF,SCSCF,I:SCSCF,ASLI,I:ASLI,SCSCF,T:ASLI,SCSCF,I-500:SCSCF,ASLI,A:SCSCF,PCSCF,T:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,GTW,I:GTW,SCSCF,T:GTW,SCSCF,S:SCSCF,MTAS,S:SCSCF,PCSCF,S:PCSCF,SCSCF,P:SCSCF,MTAS,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:GTW,SCSCF,R:SCSCF,MTAS,P-200:SCSCF,MTAS,R:MTAS,SCSCF,P-200:SCSCF,PCSCF,P-200:SCSCF,PCSCF,R:PCSCF,SCSCF,P:SCSCF,MTAS,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:SCSCF,MTAS,P-200:MTAS,SCSCF,P-200:SCSCF,PCSCF,P-200:GTW,SCSCF,I-200:SCSCF,MTAS,I-200:SCSCF,PCSCF,I-200:PCSCF,SCSCF,A:SCSCF,MTAS,A:MTAS,SCSCF,A:SCSCF,GTW,A:GTW,SCSCF,B:MTAS,SCSCF,B:SCSCF,PCSCF,B:PCSCF,SCSCF,B-200:SCSCF,MTAS,B-200:SCSCF,GTW,B-200",0
"PCSCF,SCSCF,I:SCSCF,PCSCF,T:SCSCF,PCSCF,I-407:PCSCF,SCSCF,A:PCSCF,SCSCF,I:SCSCF,PCSCF,T:SCSCF,ASLI,I:ASLI,SCSCF,T:ASLI,SCSCF,I-500:SCSCF,ASLI,A:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,GTW,I:GTW,SCSCF,T:GTW,SCSCF,S:SCSCF,MTAS,S:SCSCF,PCSCF,S:PCSCF,SCSCF,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:GTW,SCSCF,R:SCSCF,MTAS,R:SCSCF,MTAS,P-200:SCSCF,PCSCF,P-200:SCSCF,PCSCF,R:PCSCF,SCSCF,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:SCSCF,MTAS,P-200:SCSCF,PCSCF,P-200:GTW,SCSCF,S:SCSCF,MTAS,S:SCSCF,PCSCF,S:PCSCF,SCSCF,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:SCSCF,MTAS,P-200:SCSCF,PCSCF,P-200:GTW,SCSCF,U:MTAS,SCSCF,U:SCSCF,PCSCF,U:PCSCF,SCSCF,U-200:SCSCF,MTAS,U-200:SCSCF,GTW,U-200:GTW,SCSCF,I-200:SCSCF,MTAS,I-200:SCSCF,PCSCF,I-200:PCSCF,SCSCF,A:SCSCF,MTAS,A:MTAS,SCSCF,A:SCSCF,GTW,A:PCSCF,SCSCF,B:SCSCF,MTAS,B:MTAS,SCSCF,B:SCSCF,GTW,B:GTW,SCSCF,B-200:SCSCF,MTAS,B-200:MTAS,SCSCF,B-200:SCSCF,PCSCF,B-200",0
"PCSCF,SCSCF,I:SCSCF,PCSCF,T:SCSCF,ASLI,I:ASLI,SCSCF,T:ASLI,SCSCF,I-500:SCSCF,ASLI,A:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,GTW,I:GTW,SCSCF,T:GTW,SCSCF,S:SCSCF,PCSCF,S:SCSCF,MTAS,S:PCSCF,SCSCF,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:SCSCF,MTAS,P-200:SCSCF,PCSCF,P-200:GTW,SCSCF,R:SCSCF,MTAS,R:SCSCF,PCSCF,R:PCSCF,SCSCF,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:SCSCF,MTAS,P-200:SCSCF,PCSCF,P-200:GTW,SCSCF,I-200:SCSCF,MTAS,I-200:SCSCF,PCSCF,I-200:PCSCF,SCSCF,A:SCSCF,MTAS,A:SCSCF,GTW,A:MTAS,SCSCF,A:PCSCF,SCSCF,B:SCSCF,MTAS,B:MTAS,SCSCF,B:SCSCF,GTW,B:GTW,SCSCF,B-200:SCSCF,MTAS,B-200:MTAS,SCSCF,B-200:SCSCF,PCSCF,B-200",0
"GTW,ICSCF,I:ICSCF,GTW,T:SCSCF,ASLI,I:ASLI,SCSCF,T:ASLI,SCSCF,I-500:SCSCF,ASLI,A:SCSCF,MTAS,I:MTAS,SCSCF,T:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,PCSCF,I:PCSCF,SCSCF,T:PCSCF,SCSCF,R:SCSCF,MTAS,R:MTAS,SCSCF,R:ICSCF,GTW,R:GTW,SCSCF,P:SCSCF,MTAS,P:MTAS,SCSCF,P:SCSCF,PCSCF,P:PCSCF,SCSCF,P-200:SCSCF,MTAS,P-200:MTAS,SCSCF,P-200:SCSCF,GTW,P-200:PCSCF,SCSCF,I-200:SCSCF,MTAS,I-200:MTAS,SCSCF,I-200:ICSCF,GTW,I-200:GTW,SCSCF,A:SCSCF,MTAS,A:MTAS,SCSCF,A:SCSCF,PCSCF,A:PCSCF,SCSCF,I:SCSCF,PCSCF,T:SCSCF,MTAS,I:MTAS,SCSCF,T:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,GTW,I:GTW,SCSCF,T:GTW,SCSCF,I-200:SCSCF,MTAS,I-200:MTAS,SCSCF,I-200:SCSCF,PCSCF,I-200:PCSCF,SCSCF,A:SCSCF,MTAS,A:MTAS,SCSCF,A:SCSCF,GTW,A:PCSCF,SCSCF,I:SCSCF,MTAS,I:MTAS,SCSCF,T:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,PCSCF,T:SCSCF,GTW,I:GTW,SCSCF,T:GTW,SCSCF,I-488:SCSCF,GTW,A:SCSCF,MTAS,I-488:MTAS,SCSCF,A:MTAS,SCSCF,I-488:SCSCF,MTAS,A:SCSCF,PCSCF,I-488:PCSCF,SCSCF,A:GTW,SCSCF,B:SCSCF,MTAS,B:MTAS,SCSCF,B:SCSCF,PCSCF,B:PCSCF,SCSCF,B-200:SCSCF,MTAS,B-200:MTAS,SCSCF,B-200:SCSCF,GTW,B-200",0
"PCSCF,SCSCF,I:SCSCF,PCSCF,T:SCSCF,ASLI,I:ASLI,SCSCF,T:ASLI,SCSCF,I-500:SCSCF,ASLI,A:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,ASLI,I:ASLI,SCSCF,T:ASLI,SCSCF,I-500:SCSCF,ASLI,A:SCSCF,MTAS,I:MTAS,SCSCF,T:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,PCSCF,I:PCSCF,SCSCF,T:PCSCF,SCSCF,R:SCSCF,MTAS,R:MTAS,SCSCF,R:SCSCF,MTAS,R:SCSCF,PCSCF,R:PCSCF,SCSCF,P:MTAS,SCSCF,P:SCSCF,MTAS,P:MTAS,SCSCF,P:SCSCF,PCSCF,P:SCSCF,MTAS,P-200:MTAS,SCSCF,P-200:SCSCF,MTAS,P-200:PCSCF,SCSCF,P-200:SCSCF,PCSCF,P-200:PCSCF,SCSCF,I-200:SCSCF,MTAS,I-200:MTAS,SCSCF,I-200:SCSCF,MTAS,I-200:SCSCF,PCSCF,I-200:PCSCF,SCSCF,A:MTAS,SCSCF,A:SCSCF,MTAS,A:MTAS,SCSCF,A:SCSCF,PCSCF,A:MTAS,SCSCF,U:SCSCF,PCSCF,U:PCSCF,SCSCF,U-200:SCSCF,MTAS,U-200:MTAS,SCSCF,U:SCSCF,PCSCF,U:SCSCF,MTAS,U-200:PCSCF,SCSCF,U-200:SCSCF,MTAS,U-200:MTAS,SCSCF,U:SCSCF,PCSCF,U:PCSCF,SCSCF,U-200:SCSCF,MTAS,U-200:MTAS,SCSCF,U:SCSCF,PCSCF,U:MTAS,SCSCF,U:SCSCF,MTAS,U-200:PCSCF,SCSCF,U-200:SCSCF,MTAS,U-200:PCSCF,SCSCF,B:MTAS,SCSCF,B:SCSCF,MTAS,B:MTAS,SCSCF,B:SCSCF,PCSCF,B:PCSCF,SCSCF,B-200:SCSCF,MTAS,B-200:MTAS,SCSCF,B-200:SCSCF,MTAS,B-200:SCSCF,PCSCF,B-200",0
"PCSCF,SCSCF,I:SCSCF,PCSCF,T:SCSCF,ASLI,I:ASLI,SCSCF,T:ASLI,SCSCF,I-500:SCSCF,ASLI,A:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,GTW,I:GTW,SCSCF,T:GTW,SCSCF,S:SCSCF,MTAS,S:SCSCF,PCSCF,S:PCSCF,SCSCF,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:SCSCF,MTAS,P-200:SCSCF,PCSCF,P-200:GTW,SCSCF,R:SCSCF,MTAS,R:SCSCF,PCSCF,R:PCSCF,SCSCF,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:SCSCF,MTAS,P-200:SCSCF,PCSCF,P-200:GTW,SCSCF,I-480:SCSCF,GTW,A:SCSCF,MTAS,I-480:MTAS,SCSCF,A:SCSCF,PCSCF,I-480:PCSCF,SCSCF,A",0
"PCSCF,SCSCF,I:SCSCF,PCSCF,T:SCSCF,PCSCF,I-407:PCSCF,SCSCF,A:PCSCF,SCSCF,I:SCSCF,PCSCF,T:SCSCF,ASLI,I:ASLI,SCSCF,T:ASLI,SCSCF,I-500:SCSCF,ASLI,A:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,GTW,I:GTW,SCSCF,T:GTW,SCSCF,S:SCSCF,MTAS,S:SCSCF,PCSCF,S:PCSCF,SCSCF,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:GTW,SCSCF,R:SCSCF,MTAS,P-200:SCSCF,MTAS,R:SCSCF,PCSCF,P-200:SCSCF,PCSCF,R:PCSCF,SCSCF,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:SCSCF,MTAS,P-200:SCSCF,PCSCF,P-200:GTW,SCSCF,I-200:SCSCF,MTAS,I-200:SCSCF,PCSCF,I-200:PCSCF,SCSCF,A:SCSCF,MTAS,A:MTAS,SCSCF,A:SCSCF,GTW,A:PCSCF,SCSCF,B:MTAS,SCSCF,B:SCSCF,GTW,B:GTW,SCSCF,B-200:SCSCF,MTAS,B-200:SCSCF,PCSCF,B-200",0
"PCSCF,SCSCF,I:SCSCF,PCSCF,T:SCSCF,ASLI,I:ASLI,SCSCF,T:ASLI,SCSCF,I-500:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,ASLI,A:SCSCF,GTW,I:GTW,SCSCF,T:GTW,SCSCF,S:SCSCF,MTAS,S:SCSCF,PCSCF,S:PCSCF,SCSCF,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:GTW,SCSCF,R:SCSCF,MTAS,R:SCSCF,MTAS,P-200:SCSCF,PCSCF,P-200:SCSCF,PCSCF,R:PCSCF,SCSCF,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:SCSCF,MTAS,P-200:SCSCF,PCSCF,P-200:GTW,SCSCF,I-200:SCSCF,MTAS,I-200:SCSCF,PCSCF,I-200:PCSCF,SCSCF,A:SCSCF,MTAS,A:MTAS,SCSCF,A:SCSCF,GTW,A:PCSCF,SCSCF,B:MTAS,SCSCF,B:SCSCF,GTW,B:GTW,SCSCF,B-200:SCSCF,MTAS,B-200:SCSCF,PCSCF,B-200",0
"PCSCF,SCSCF,I:SCSCF,PCSCF,T:SCSCF,ASLI,I:ASLI,SCSCF,T:ASLI,SCSCF,I-500:SCSCF,ASLI,A:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,GTW,I:GTW,SCSCF,T:GTW,SCSCF,R:SCSCF,MTAS,R:SCSCF,PCSCF,R:PCSCF,SCSCF,P:SCSCF,MTAS,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:SCSCF,MTAS,P-200:MTAS,SCSCF,P-200:SCSCF,PCSCF,P-200:GTW,SCSCF,I-200:SCSCF,MTAS,I-200:SCSCF,PCSCF,I-200:GTW,SCSCF,I-200:SCSCF,MTAS,I-200:PCSCF,SCSCF,A:SCSCF,MTAS,A:MTAS,SCSCF,A:SCSCF,GTW,A:PCSCF,SCSCF,B:SCSCF,MTAS,B:MTAS,SCSCF,B:SCSCF,GTW,B:GTW,SCSCF,B-200:SCSCF,MTAS,B-200:SCSCF,PCSCF,B-200:MTAS,SCSCF,B-200",0
"PCSCF,SCSCF,I:SCSCF,PCSCF,T:SCSCF,ASLI,I:ASLI,SCSCF,T:ASLI,SCSCF,I-500:SCSCF,ASLI,A:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,GTW,I:GTW,SCSCF,T:GTW,SCSCF,R:SCSCF,MTAS,R:SCSCF,PCSCF,R:PCSCF,SCSCF,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:SCSCF,MTAS,P-200:SCSCF,PCSCF,P-200:GTW,SCSCF,I-486:SCSCF,GTW,A:SCSCF,MTAS,I-486:MTAS,SCSCF,A:SCSCF,PCSCF,I-486:PCSCF,SCSCF,A",0
"PCSCF,SCSCF,I:SCSCF,ASLI,I:SCSCF,PCSCF,T:ASLI,SCSCF,T:ASLI,SCSCF,I-500:SCSCF,ASLI,A:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,GTW,I:GTW,SCSCF,T:GTW,SCSCF,S:SCSCF,MTAS,S:SCSCF,PCSCF,S:PCSCF,SCSCF,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:SCSCF,MTAS,P-200:SCSCF,PCSCF,P-200:GTW,SCSCF,S:SCSCF,MTAS,S:SCSCF,PCSCF,S:PCSCF,SCSCF,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:SCSCF,MTAS,P-200:SCSCF,PCSCF,P-200:GTW,SCSCF,R:SCSCF,MTAS,R:SCSCF,PCSCF,R:PCSCF,SCSCF,C:MTAS,SCSCF,C:SCSCF,MTAS,C-200:SCSCF,GTW,C:GTW,SCSCF,C-200:SCSCF,PCSCF,C-200:GTW,SCSCF,I-487:SCSCF,GTW,A:SCSCF,MTAS,I-487:MTAS,SCSCF,A:SCSCF,PCSCF,I-487:PCSCF,SCSCF,A",0
"PCSCF,SCSCF,I:SCSCF,PCSCF,T:SCSCF,ASLI,I:ASLI,SCSCF,T:ASLI,SCSCF,I-500:SCSCF,ASLI,A:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,GTW,I:GTW,SCSCF,T:GTW,SCSCF,R:SCSCF,MTAS,R:SCSCF,PCSCF,R:PCSCF,SCSCF,P:SCSCF,MTAS,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:SCSCF,MTAS,P-200:MTAS,SCSCF,P-200:SCSCF,PCSCF,P-200:GTW,SCSCF,S:SCSCF,MTAS,S:SCSCF,PCSCF,S:PCSCF,SCSCF,P:SCSCF,MTAS,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:SCSCF,MTAS,P-200:MTAS,SCSCF,P-200:SCSCF,PCSCF,P-200:GTW,SCSCF,S:SCSCF,MTAS,S:SCSCF,PCSCF,S:GTW,SCSCF,I-200:SCSCF,MTAS,I-200:PCSCF,SCSCF,P:SCSCF,MTAS,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:SCSCF,PCSCF,I-200:SCSCF,MTAS,P-200:MTAS,SCSCF,P-200:SCSCF,PCSCF,P-200:PCSCF,SCSCF,A:SCSCF,MTAS,A:MTAS,SCSCF,A:SCSCF,GTW,A:PCSCF,SCSCF,B:SCSCF,MTAS,B:MTAS,SCSCF,B:SCSCF,GTW,B:GTW,SCSCF,B-200:SCSCF,MTAS,B-200:MTAS,SCSCF,B-200:SCSCF,PCSCF,B-200",0
"PCSCF,SCSCF,I:SCSCF,PCSCF,T:SCSCF,ASLI,I:ASLI,SCSCF,T:ASLI,SCSCF,I-500:SCSCF,ASLI,A:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,GTW,I:GTW,SCSCF,T:GTW,SCSCF,R:SCSCF,MTAS,R:SCSCF,PCSCF,R:PCSCF,SCSCF,P:SCSCF,MTAS,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:GTW,SCSCF,I-200:SCSCF,MTAS,I-200:SCSCF,MTAS,P-200:MTAS,SCSCF,P-200:SCSCF,PCSCF,I-200:PCSCF,SCSCF,A:SCSCF,PCSCF,P-200:SCSCF,MTAS,A:MTAS,SCSCF,A:SCSCF,GTW,A:PCSCF,SCSCF,I:SCSCF,PCSCF,T:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,GTW,I:GTW,SCSCF,T:GTW,SCSCF,I-200:SCSCF,MTAS,I-200:SCSCF,PCSCF,I-200:PCSCF,SCSCF,A:SCSCF,MTAS,A:MTAS,SCSCF,A:SCSCF,GTW,A:PCSCF,SCSCF,B:SCSCF,MTAS,B:MTAS,SCSCF,B:SCSCF,GTW,B:GTW,SCSCF,B-200:SCSCF,MTAS,B-200:MTAS,SCSCF,B-200:SCSCF,PCSCF,B-200",0
"PCSCF,SCSCF,I:SCSCF,PCSCF,T:SCSCF,PCSCF,I-407:PCSCF,SCSCF,A:PCSCF,SCSCF,I:SCSCF,ASLI,I:ASLI,SCSCF,T:ASLI,SCSCF,I-500:SCSCF,ASLI,A:SCSCF,PCSCF,T:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,ASLI,I:ASLI,SCSCF,T:ASLI,SCSCF,I-500:SCSCF,ASLI,A:SCSCF,MTAS,I:MTAS,SCSCF,T:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,PCSCF,I:PCSCF,SCSCF,T:PCSCF,SCSCF,R:SCSCF,MTAS,R:MTAS,SCSCF,R:SCSCF,MTAS,R:SCSCF,PCSCF,R:PCSCF,SCSCF,P:MTAS,SCSCF,P:SCSCF,MTAS,P:MTAS,SCSCF,P:SCSCF,PCSCF,P:SCSCF,MTAS,P-200:PCSCF,SCSCF,P-200:MTAS,SCSCF,P-200:SCSCF,PCSCF,P-200:SCSCF,MTAS,I-200:PCSCF,SCSCF,I-200:MTAS,SCSCF,I-200:SCSCF,PCSCF,I-200:PCSCF,SCSCF,A:MTAS,SCSCF,A:SCSCF,MTAS,A:MTAS,SCSCF,A:SCSCF,PCSCF,A:PCSCF,SCSCF,B:MTAS,SCSCF,B:SCSCF,MTAS,B:MTAS,SCSCF,B:SCSCF,PCSCF,B:PCSCF,SCSCF,B-200:SCSCF,MTAS,B-200:MTAS,SCSCF,B-200:SCSCF,MTAS,B-200:SCSCF,PCSCF,B-200",0
"GTW,ICSCF,I:ICSCF,GTW,T:SCSCF,ASLI,I:ASLI,SCSCF,T:ASLI,SCSCF,I-500:SCSCF,MTAS,I:MTAS,SCSCF,T:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,PCSCF,I:SCSCF,ASLI,A:PCSCF,SCSCF,T:PCSCF,SCSCF,R:SCSCF,MTAS,R:MTAS,SCSCF,R:ICSCF,GTW,R:GTW,SCSCF,P:SCSCF,MTAS,P:MTAS,SCSCF,P:SCSCF,PCSCF,P:PCSCF,SCSCF,P-200:SCSCF,MTAS,P-200:MTAS,SCSCF,P-200:SCSCF,GTW,P-200:GTW,ICSCF,C:ICSCF,GTW,C-200:SCSCF,MTAS,C:MTAS,SCSCF,C-200:MTAS,SCSCF,C:SCSCF,MTAS,C-200:SCSCF,PCSCF,C:PCSCF,SCSCF,C-200:SCSCF,MTAS,I-487:MTAS,SCSCF,A:MTAS,SCSCF,I-487:SCSCF,MTAS,A:PCSCF,SCSCF,I-487:SCSCF,PCSCF,A:ICSCF,GTW,I-487:GTW,ICSCF,A",0
"PCSCF,SCSCF,I:SCSCF,ASLI,I:ASLI,SCSCF,T:ASLI,SCSCF,I-500:SCSCF,ASLI,A:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,GTW,I:GTW,SCSCF,T:SCSCF,PCSCF,T:GTW,SCSCF,S:SCSCF,MTAS,S:SCSCF,PCSCF,S:PCSCF,SCSCF,P:GTW,SCSCF,S:SCSCF,MTAS,P:SCSCF,MTAS,S:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:GTW,SCSCF,R:SCSCF,MTAS,R:SCSCF,MTAS,P-200:MTAS,SCSCF,P-200:SCSCF,PCSCF,P-200:SCSCF,PCSCF,R:PCSCF,SCSCF,P:SCSCF,MTAS,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:SCSCF,MTAS,P-200:MTAS,SCSCF,P-200:SCSCF,PCSCF,P-200:PCSCF,SCSCF,C:MTAS,SCSCF,C:SCSCF,MTAS,C-200:SCSCF,GTW,C:GTW,SCSCF,C-200:GTW,SCSCF,I-487:SCSCF,GTW,A:SCSCF,MTAS,I-487:MTAS,SCSCF,A:SCSCF,PCSCF,C-200:SCSCF,PCSCF,I-487:PCSCF,SCSCF,A",0
"PCSCF,SCSCF,I:SCSCF,PCSCF,T:SCSCF,ASLI,I:ASLI,SCSCF,T:ASLI,SCSCF,I-500:SCSCF,ASLI,A:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,GTW,I:GTW,SCSCF,T:GTW,SCSCF,R:SCSCF,MTAS,R:SCSCF,PCSCF,R:GTW,SCSCF,R:SCSCF,MTAS,R:SCSCF,PCSCF,R:PCSCF,SCSCF,P:MTAS,SCSCF,P:SCSCF,GTW,P:GTW,SCSCF,P-200:SCSCF,MTAS,P-200:SCSCF,PCSCF,P-200:GTW,SCSCF,I-200:SCSCF,MTAS,I-200:SCSCF,PCSCF,I-200:PCSCF,SCSCF,A:SCSCF,MTAS,A:MTAS,SCSCF,A:SCSCF,GTW,A:GTW,SCSCF,B:MTAS,SCSCF,B:SCSCF,PCSCF,B:PCSCF,SCSCF,B-200:SCSCF,MTAS,B-200:SCSCF,GTW,B-200",0
"MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,ASLI,I:ASLI,SCSCF,T:ASLI,SCSCF,I-500:SCSCF,ASLI,A:SCSCF,MTAS,I:MTAS,SCSCF,T:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,PCSCF,I:PCSCF,SCSCF,T:PCSCF,SCSCF,R:SCSCF,MTAS,R:MTAS,SCSCF,R:SCSCF,MTAS,R:MTAS,SCSCF,P:SCSCF,MTAS,P:MTAS,SCSCF,P:SCSCF,PCSCF,P:PCSCF,SCSCF,P-200:SCSCF,MTAS,P-200:MTAS,SCSCF,P-200:SCSCF,MTAS,P-200:PCSCF,SCSCF,I-200:MTAS,SCSCF,I-200:SCSCF,MTAS,I-200:MTAS,SCSCF,A:SCSCF,MTAS,A:SCSCF,PCSCF,A:MTAS,SCSCF,A:MTAS,SCSCF,B:SCSCF,MTAS,B:MTAS,SCSCF,B:SCSCF,PCSCF,B:PCSCF,SCSCF,B-200:SCSCF,MTAS,B-200:MTAS,SCSCF,B-200:SCSCF,MTAS,B-200",0
"PCSCF,SCSCF,I:SCSCF,PCSCF,T:SCSCF,ASLI,I:ASLI,SCSCF,T:ASLI,SCSCF,I-500:SCSCF,ASLI,A:MTAS,SCSCF,I:SCSCF,MTAS,T:SCSCF,GTW,I:GTW,SCSCF,T:GTW,SCSCF,I-200:SCSCF,MTAS,I-200:SCSCF,PCSCF,I-200:PCSCF,SCSCF,A:SCSCF,MTAS,A:MTAS,SCSCF,A:SCSCF,GTW,A:MTAS,SCSCF,U:SCSCF,GTW,U:GTW,SCSCF,U-200:SCSCF,PCSCF,U:SCSCF,MTAS,U-200:PCSCF,SCSCF,U-200:SCSCF,MTAS,U-200:GTW,SCSCF,B:MTAS,SCSCF,B:SCSCF,PCSCF,B:PCSCF,SCSCF,B-200:SCSCF,MTAS,B-200:SCSCF,GTW,B-200",0
